1,1,37.7,80, ?,3,3,6,1,5,4,1,2,3, ?,3,1,50,55,3,2,
1,1, ?,100,30,3,3,4,2,5,4,4,3,3, ?,4,4,52,6.6, ?, ?,
1,1,37.7,120,28,3,3,3,1,5,3,3,1,1, ?, ?, ?,65,7,3, ?,
1,1, ?,76, ?, ?,3, ?, ?, ?,4,4, ?, ?, ?, ?,5, ?, ?, ?, ?,
1,9,38.8,150,50,1,3,6,2,5,3,2,1,1, ?, ?, ?,50,6.2, ?, ?,
1,1,38,36,16,3,1,1,1,4,2,2,3,3,2,3, ?,37,75,2,1,
2,1,36.9,50,40,2,3,3,1,1,3,2,3,1,7, ?, ?,37.5,6.5, ?, ?,
2,1,37.8,40,16,1,1,1,1,1,1,1, ?, ?, ?,1,1,37,6.8, ?, ?,
2,1,38.2,56,40,4,3,1,1,2,4,3,2,2,7.5, ?, ?,47,7.2,1,2.5,
1,1,38.6,48,12, ?, ?,1, ?,1,1, ?, ?, ?, ?, ?, ?,36,67, ?, ?,
2,1,40,78, ?,3,3,5,1,2,3,1,1,1, ?,4,1,66,6.5, ?, ?,
1,1, ?,70,16,3,4,5,2,2,3,2,2,1, ?,4,5,60,7.5, ?, ?,
1,1,38.2,72,18, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?,35,6.4, ?, ?,
2,1,38.5,54, ?,1,1,1,1,3,1,1,2,1, ?,1, ?,40,6.8,2,7,
1,1,38.5,66,24,1,1,1,1,3,3,1,2,1, ?,4,5,40,6.7,1, ?,
2,1,37.8,82,12,3,1,1,2,4, ?,3,1,3, ?, ?, ?,50,7, ?, ?,
2,9,39.5,84,30, ?, ?, ?,1, ?, ?, ?, ?, ?, ?, ?, ?,28,5, ?, ?,
1,1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?,
1,1,38,50,36, ?,1,1,1,3,2,2, ?, ?, ?,3, ?,39,6.6,1,5.3,
2,1,38.6,45,16,2,1,2,1,1,1, ?, ?, ?, ?,1,1,43,58, ?, ?,
1,1,38.9,80,44,3,3,3,1,2,3,3,2,2,7,3,1,54,6.5,3, ?,
1,1,37,66,20,1,3,2,1,4,3,3,1, ?, ?,1,5,35,6.9,2, ?,
1,1, ?,78,24,3,3,3,1, ?,3, ?,2,1, ?, ?,4,43,62, ?,2,
2,1,38.5,40,16,1,1,1,1,2,1,1, ?, ?, ?,3,2,37,67, ?, ?,
1,1, ?,120,70,4, ?,4,2,2,4, ?, ?, ?, ?, ?,5,55,65, ?, ?,
2,1,37.2,72,24,3,2,4,2,4,3,3,3,1, ?,4,4,44, ?,3,3.3,
1,1,37.5,72,30,4,3,4,1,4,4,3,2,1, ?,3,5,60,6.8, ?, ?,
1,1,36.5,100,24,3,3,3,1,3,3,3,3,1, ?,4,4,50,6,3,3.4,
1,1,37.2,40,20, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?,4,1,36,62,1,1,
